Airport Code,State Code,State,Region,Latitude,Longitude
LAX,CA,California,West,33.942501,-118.407997
SFO,CA,California,West,37.61899948120117,-122.375
SAN,CA,California,West,32.7336006165,-117.190002441
SJC,CA,California,West,37.362452,-121.929188
OAK,CA,California,West,37.721298,-122.221001
SNA,CA,California,West,33.675701,-117.867996
SMF,CA,California,West,38.69540023803711,-121.59100341796876
BUR,CA,California,West,34.197703,-118.356378
LGB,CA,California,West,33.817699,-118.152
ONT,CA,California,West,34.055999755859375,-117.60099792480467
PSP,CA,California,West,33.8297,-116.507004
SBA,CA,California,West,34.42620087,-119.8399963
MRY,CA,California,West,36.58700180053711,-121.84300231933594
FAT,CA,California,West,36.776199,-119.718002
SBP,CA,California,West,35.2368011475,-120.641998291
STS,CA,California,West,38.50899887,-122.8130035
BFL,CA,California,West,35.433601,-119.056999
SMX,CA,California,West,34.898899,-120.457001
OXR,CA,California,West,34.200801849365,-119.20700073242
MOD,CA,California,West,37.625801,-120.954002
RDD,CA,California,West,40.50899887,-122.2929993
SCK,CA,California,West,37.894199371338,-121.2379989624
CIC,CA,California,West,39.79539871,-121.8580017
IPL,CA,California,West,32.834201812699995,-115.57900238
ACV,CA,California,West,40.978101,-124.109
VIS,CA,California,West,36.318699,-119.392998
MCE,CA,California,West,37.28469849,-120.5139999
MMH,CA,California,West,37.62409973,-118.8379974
CEC,CA,California,West,41.78020096,-124.2369995
IYK,CA,California,West,35.65879822,-117.8300018
PMD,CA,California,West,34.629398,-118.084999
ORD,IL,Illinois,Midwest,41.9786,-87.9048
MDW,IL,Illinois,Midwest,41.785999,-87.752403
CMI,IL,Illinois,Midwest,40.039819,-88.276249
PIA,IL,Illinois,Midwest,40.6642,-89.693298
BMI,IL,Illinois,Midwest,40.4771,-88.915901
RFD,IL,Illinois,Midwest,42.1954,-89.097198
MLI,IL,Illinois,Midwest,41.448502,-90.5075
SPI,IL,Illinois,Midwest,39.844101,-89.677902
BLV,IL,Illinois,Midwest,38.5452,-89.835197
DEC,IL,Illinois,Midwest,39.834598541259766,-88.8656997680664
MWA,IL,Illinois,Midwest,37.751208,-89.016568
JFK,NY,New York,Northeast,40.639801,-73.7789
LGA,NY,New York,Northeast,40.777199,-73.872597
BUF,NY,New York,Northeast,42.94049835,-78.73220062
ALB,NY,New York,Northeast,42.74829864501953,-73.80169677734375
HPN,NY,New York,Northeast,41.06700134277344,-73.70760345458984
SYR,NY,New York,Northeast,43.11119842529297,-76.1063003540039
ROC,NY,New York,Northeast,43.1189,-77.672401
ISP,NY,New York,Northeast,40.79520035,-73.10019684
SWF,NY,New York,Northeast,41.504101,-74.104797
ITH,NY,New York,Northeast,42.49100112915039,-76.4583969116211
ELM,NY,New York,Northeast,42.1599006652832,-76.8916015625
IAG,NY,New York,Northeast,43.1073,-78.946198
BGM,NY,New York,Northeast,42.20869827,-75.97979736
ART,NY,New York,Northeast,43.99190139770508,-76.02169799804688
PBG,NY,New York,Northeast,44.6509017944336,-73.46810150146484
RME,NY,New York,Northeast,43.23379898,-75.40699768
JHW,NY,New York,Northeast,42.15425,-79.254008
OGS,NY,New York,Northeast,44.6819,-75.4655
PLB,NY,New York,Northeast,44.6875,-73.52449798583984
ATL,GA,Georgia,South,33.6367,-84.428101
SAV,GA,Georgia,South,32.12760162,-81.20210266
AGS,GA,Georgia,South,33.3699,-81.9645
AHN,GA,Georgia,South,33.94860076904297,-83.32630157470703
CSG,GA,Georgia,South,32.516300201416016,-84.93890380859375
BQK,GA,Georgia,South,31.2588005065918,-81.46649932861328
ABY,GA,Georgia,South,31.532946,-84.196215
MCN,GA,Georgia,South,32.69279861450195,-83.64920043945312
VLD,GA,Georgia,South,30.78249931335449,-83.27670288085938
DFW,TX,Texas,South,32.896801,-97.038002
IAH,TX,Texas,South,29.984399795532227,-95.34140014648438
AUS,TX,Texas,South,30.197535,-97.662015
SAT,TX,Texas,South,29.533701,-98.469803
HOU,TX,Texas,South,29.645399,-95.2789
DAL,TX,Texas,South,32.847099,-96.851799
ELP,TX,Texas,South,31.80719948,-106.3779984
LBB,TX,Texas,South,33.663601,-101.822998
AMA,TX,Texas,South,35.219398,-101.706001
MAF,TX,Texas,South,31.9424991607666,-102.2020034790039
CRP,TX,Texas,South,27.770399,-97.501198
CLL,TX,Texas,South,30.58860016,-96.36380005
MFE,TX,Texas,South,26.176141,-98.237965
ACT,TX,Texas,South,31.611299514770508,-97.23049926757812
SJT,TX,Texas,South,31.35770034790039,-100.49600219726562
BRO,TX,Texas,South,25.90679931640625,-97.4259033203125
ABI,TX,Texas,South,32.4113006592,-99.6819000244
HRL,TX,Texas,South,26.228500366210938,-97.65440368652344
TYR,TX,Texas,South,32.35409927368164,-95.40239715576172
LRD,TX,Texas,South,27.543800354003903,-99.46160125732422
GGG,TX,Texas,South,32.38399887084961,-94.71150207519533
SPS,TX,Texas,South,33.9888,-98.491898
BPT,TX,Texas,South,29.9508,-94.020699
VCT,TX,Texas,South,28.85260009765625,-96.9185028076172
DRT,TX,Texas,South,29.3742008209,-100.927001953
GRK,TX,Texas,South,31.0672,-97.828903
EWR,NJ,New Jersey,Northeast,40.692501,-74.168701
TTN,NJ,New Jersey,Northeast,40.27669906616211,-74.8134994506836
ACY,NJ,New Jersey,Northeast,39.45759963989258,-74.57720184326172
LAS,NV,Nevada,West,36.080101,-115.152
RNO,NV,Nevada,West,39.49909973144531,-119.76799774169922
EKO,NV,Nevada,West,40.82490158081055,-115.79199981689452
MCO,FL,Florida,South,28.429399490356445,-81.30899810791016
MIA,FL,Florida,South,25.79319953918457,-80.29060363769531
FLL,FL,Florida,South,26.072599,-80.152702
TPA,FL,Florida,South,27.975500106811523,-82.533203125
JAX,FL,Florida,South,30.49410057067871,-81.68789672851562
PBI,FL,Florida,South,26.68320083618164,-80.09559631347656
RSW,FL,Florida,South,26.53619956970215,-81.75520324707031
PNS,FL,Florida,South,30.4734,-87.1866
EYW,FL,Florida,South,24.556101,-81.759598
TLH,FL,Florida,South,30.3965,-84.350304
DAB,FL,Florida,South,29.179899,-81.058098
SRQ,FL,Florida,South,27.395399,-82.554398
PIE,FL,Florida,South,27.91020012,-82.68740082
SFB,FL,Florida,South,28.7775993347168,-81.23750305175781
GNV,FL,Florida,South,29.6900997162,-82.2717971802
LAL,FL,Florida,South,27.988899,-82.018602
APF,FL,Florida,South,26.1525993347,-81.7752990723
MLB,FL,Florida,South,28.1028,-80.645302
VPS,FL,Florida,South,30.4832,-86.525398
PGD,FL,Florida,South,26.9202,-81.990501
ECP,FL,Florida,South,30.357106,-85.795414
DEN,CO,Colorado,West,39.861698150635,-104.672996521
COS,CO,Colorado,West,38.805801,-104.700996
ASE,CO,Colorado,West,39.22320175,-106.8690033
GJT,CO,Colorado,West,39.126663,-108.529387
PUB,CO,Colorado,West,38.289101,-104.497002
EGE,CO,Colorado,West,39.64260101,-106.9179993
DRO,CO,Colorado,West,37.1515007019,-107.753997803
FNL,CO,Colorado,West,40.448763,-105.011244
